Data;Close;;;;;
09.06.2023;8.55;;;;;
08.06.2023;8.54;;;;;
07.06.2023;8.59;;;;;
06.06.2023;8.39;;;;;
05.06.2023;8.51;;;;;
02.06.2023;8.7;;;;;
01.06.2023;8.66;;;;;
31.05.2023;8.74;;;;;
30.05.2023;8.93;;;;;
29.05.2023;8.92;;;;;
26.05.2023;8.67;;;;;
25.05.2023;8.46;;;;;
24.05.2023;8.46;;;;;
23.05.2023;8.77;;;;;
22.05.2023;8.61;;;;;
19.05.2023;8.57;;;;;
18.05.2023;8.71;;;;;
17.05.2023;8.57;;;;;
16.05.2023;8.62;;;;;
15.05.2023;8.73;;;;;
12.05.2023;8.38;;;;;
11.05.2023;8.62;;;;;
10.05.2023;8.88;;;;;
09.05.2023;8.7;;;;;
08.05.2023;8.77;;;;;
05.05.2023;9.22;;;;;
04.05.2023;9.09;;;;;
03.05.2023;8.86;;;;;
02.05.2023;8.97;;;;;
28.04.2023;9.13;;;;;
27.04.2023;9.22;;;;;
26.04.2023;9.32;;;;;
25.04.2023;8.62;;;;;
24.04.2023;8.58;;;;;
21.04.2023;8.87;;;;;
20.04.2023;9.04;;;;;
19.04.2023;9.27;;;;;
18.04.2023;9.55;;;;;
17.04.2023;9.32;;;;;
14.04.2023;9.55;;;;;
13.04.2023;9.54;;;;;
12.04.2023;9.44;;;;;
11.04.2023;9.58;;;;;
06.04.2023;8.92;;;;;
05.04.2023;8.91;;;;;
04.04.2023;8.88;;;;;
03.04.2023;8.94;;;;;
31.03.2023;9.08;;;;;
30.03.2023;9.03;;;;;
29.03.2023;9.11;;;;;
28.03.2023;8.65;;;;;
27.03.2023;8.65;;;;;
24.03.2023;9;;;;;
23.03.2023;9.06;;;;;
22.03.2023;9.23;;;;;
21.03.2023;9.13;;;;;
20.03.2023;8.98;;;;;
17.03.2023;8.6;;;;;
16.03.2023;8.1;;;;;
15.03.2023;8.04;;;;;
14.03.2023;8.39;;;;;
13.03.2023;7.7;;;;;
10.03.2023;6.58;;;;;
09.03.2023;7.08;;;;;
08.03.2023;7.25;;;;;
07.03.2023;7.29;;;;;
06.03.2023;7.31;;;;;
03.03.2023;7.31;;;;;
02.03.2023;7.63;;;;;
01.03.2023;7.69;;;;;
28.02.2023;7.67;;;;;
27.02.2023;7.62;;;;;
24.02.2023;7.6;;;;;
23.02.2023;7.83;;;;;
22.02.2023;7.75;;;;;
21.02.2023;7.93;;;;;
20.02.2023;8.07;;;;;
17.02.2023;7.82;;;;;
16.02.2023;8.12;;;;;
15.02.2023;7.4;;;;;
14.02.2023;7.14;;;;;
13.02.2023;6.97;;;;;
10.02.2023;7.03;;;;;
09.02.2023;7.27;;;;;
08.02.2023;7.38;;;;;
07.02.2023;7.47;;;;;
